"","GEOID","puma"
"289","36090200","4007"
"290","36091600","4007"
"291","36091800","4007"
"292","36092400","4007"
"293","36092800","4010"
"294","36093000","4010"
"295","36095400","4009"
"296","36096400","4009"
"297","36096600","4009"
"298","36096800","4009"
"299","36097000","4009"
"300","36098400","4009"
"301","36098600","4009"
"302","36099200","4009"
"303","36099400","4009"
"304","36099600","4009"
"305","36100400","4009"
"306","36100600","4009"
"307","36100800","4009"
"308","36101000","4009"
"309","36101400","4009"
"310","36101600","4009"
"311","36102000","4009"
"312","36102400","4009"
"313","36102600","4009"
"314","36111000","4008"
"315","36112400","4008"
"316","36112600","4007"
"317","36112800","4007"
"318","36113000","4007"
"319","36113400","4007"
"320","36114600","4008"
"321","36115000","4008"
"322","36115200","4008"
"323","36115600","4007"
"324","36115800","4007"
"325","36116000","4008"
"326","36116200","4008"
"327","36116400","4008"
"328","36117000","4008"
"329","36117201","4008"
"330","36117202","4008"
"331","36119400","4008"
"332","36002701","3710"
"333","36003300","3710"
"334","36003500","3710"
"335","36003700","3710"
"336","36003800","3709"
"337","36004001","3709"
"338","36004400","3709"
"339","36004800","3709"
"340","36006800","3709"
"341","36007000","3709"
"342","36008900","3710"
"343","36012101","3705"
"344","36012102","3710"
"345","36012500","3705"
"346","36012701","3710"
"347","36013100","3710"
"348","36014300","3708"
"349","36016200","3703"
"350","36016300","3705"
"351","36016600","3703"
"352","36017500","3708"
"353","36017701","3708"
"354","36017901","3708"
"355","36017902","3708"
"356","36018101","3708"
"357","36020200","3709"
"358","36020400","3709"
"359","36020601","3709"
"360","36021601","3709"
"361","36022102","3708"
"362","36022300","3708"
"363","36023200","3704"
"364","36023600","3704"
"365","36023703","3707"
"366","36024300","3707"
"367","36024600","3704"
"368","36025000","3704"
"369","36025200","3704"
"370","36025400","3704"
"371","36028700","3701"
"372","36028800","3704"
"373","36030100","3701"
"374","36031200","3704"
"375","36031400","3704"
"376","36033000","3704"
"377","36036000","3704"
"378","36036502","3705"
"379","36036800","3702"
"380","36037000","3702"
"381","36037200","3702"
"382","36038700","3705"
"383","36039200","3702"
"384","36039400","3702"
"385","36039600","3702"
"386","36039800","3702"
"387","36039902","3706"
"388","36040100","3706"
"389","36040303","3701"
"390","36040304","3701"
"391","36040400","3702"
"392","36040501","3706"
"393","36040502","3706"
"394","36040600","3702"
"395","36040701","3701"
"396","36042200","3702"
"397","36042300","3706"
"398","36042400","3702"
"399","36042800","3702"
"400","36042902","3706"
"401","36043000","3702"
"402","36043400","3702"
"403","36043600","3702"
"404","36015300","3705"
"405","36000200","4111"
"406","36001000","4111"
"407","36001400","4111"
"408","36001600","4111"
"409","36002800","4111"
"410","36003100","4101"
"411","36003800","4111"
"412","36003900","4101"
"413","36004001","4111"
"414","36005100","4101"
"415","36006502","4101"
"416","36007300","4101"
"417","36007900","4101"
"418","36009400","4113"
"419","36010200","4113"
"420","36010400","4113"
"421","36010600","4113"
"422","36011100","4101"
"423","36011200","4111"
"424","36011300","4101"
"425","36011400","4111"
"426","36011500","4101"
"427","36011600","4111"
"428","36011700","4101"
"429","36011900","4101"
"430","36012100","4101"
"431","36012400","4111"
"432","36012601","4111"
"433","36012602","4111"
"434","36012800","4111"
"435","36013000","4111"
"436","36013600","4111"
"437","36014000","4111"
"438","36014300","4101"
"439","36014500","4101"
"440","36014700","4101"
"441","36014900","4101"
"442","36015300","4101"
"443","36015400","4111"
"444","36015600","4111"
"445","36015802","4113"
"446","36016100","4101"
"447","36016400","4113"
"448","36016600","4113"
"449","36016800","4113"
"450","36017200","4113"
"451","36018000","4113"
"452","36018501","4109"
"453","36018502","4109"
"454","36019000","4112"
"455","36023000","4106"
"456","36023200","4106"
"457","36024700","4109"
"458","36025900","4109"
"459","36026100","4109"
"460","36026600","4112"
"461","36026901","4107"
"462","36026902","4107"
"463","36027000","4112"
"464","36027100","4107"
"465","36027200","4112"
"466","36027300","4102"
"467","36027400","4112"
"468","36027500","4102"
"469","36027700","4102"
"470","36027900","4102"
"471","36028000","4112"
"472","36028100","4102"
"473","36028200","4112"
"474","36028300","4102"
"475","36028500","4102"
"476","36028700","4102"
"477","36028900","4102"
"478","36030903","4102"
"479","36032700","4102"
"480","36032900","4102"
"481","36033700","4102"
"482","36033900","4102"
"483","36035100","4102"
"484","36035300","4102"
"485","36036100","4102"
"486","36036300","4102"
"487","36036500","4102"
"488","36036700","4102"
"489","36037100","4102"
"490","36037500","4102"
"491","36037700","4102"
"492","36037900","4102"
"493","36038400","4112"
"494","36039400","4112"
"495","36039900","4107"
"496","36040000","4112"
"497","36040100","4102"
"498","36040200","4112"
"499","36040300","4102"
"500","36041100","4107"
"501","36041300","4107"
"502","36041500","4107"
"503","36043400","4112"
"504","36044301","4107"
"505","36044302","4107"
"506","36044602","4112"
"507","36044800","4106"
"508","36045700","4107"
"509","36045900","4107"
"510","36046100","4107"
"511","36046700","4107"
"512","36046900","4107"
"513","36048100","4107"
"514","36048300","4109"
"515","36048900","4109"
"516","36049500","4110"
"517","36049600","4105"
"518","36050201","4112"
"519","36050202","4112"
"520","36050400","4112"
"521","36050600","4112"
"522","36050800","4112"
"523","36051000","4112"
"524","36051200","4105"
"525","36051800","4112"
"526","36052000","4112"
"527","36052400","4112"
"528","36052500","4110"
"529","36052600","4112"
"530","36053000","4112"
"531","36053200","4105"
"532","36053601","4105"
"533","36054000","4105"
"534","36054200","4105"
"535","36054500","4110"
"536","36054700","4110"
"537","36054900","4110"
"538","36055100","4110"
"539","36055300","4110"
"540","36055600","4105"
"541","36055800","4105"
"542","36058300","4110"
"543","36058500","4110"
"544","36058700","4110"
"545","36058900","4110"
"546","36059100","4110"
"547","36059300","4110"
"548","36059400","4105"
"549","36059600","4105"
"550","36059800","4105"
"551","36059900","4110"
"552","36060000","4105"
"553","36060600","4105"
"554","36060800","4105"
"555","36061400","4105"
"556","36061800","4105"
"557","36062700","4110"
"558","36063200","4105"
"559","36065702","4110"
"560","36065703","4110"
"561","36065900","4110"
"562","36066000","4105"
"563","36066100","4110"
"564","36066300","4110"
"565","36066701","4110"
"566","36067100","4110"
"567","36067700","4110"
"568","36067900","4110"
"569","36069300","4108"
"570","36069500","4108"
"571","36069701","4108"
"572","36069702","4108"
"573","36071304","4108"
"574","36071306","4108"
"575","36071900","4108"
"576","36072100","4108"
"577","36072900","4108"
"578","36073900","4108"
"579","36074100","4108"
"580","36074300","4108"
"581","36077903","4106"
"582","36077904","4106"
"583","36077906","4106"
"584","36079900","4103"
"585","36085300","4103"
"586","36086100","4103"
"587","36087100","4103"
"588","36092800","4114"
"589","36102900","4103"
"590","36103300","4103"
"591","36103900","4103"
"592","36105900","4103"
"593","36113900","4104"
"594","36114700","4103"
"595","36115700","4103"
"596","36116100","4103"
"597","36117500","4103"
"598","36118100","4104"
"599","36118500","4103"
"600","36118700","4103"
"601","36119100","4103"
"602","36119300","4103"
"603","36119500","4103"
"604","36119900","4103"
"605","36120300","4103"
"606","36120500","4103"
"607","36120700","4103"
"608","36124100","4106"
"609","36124700","4106"
"610","36129104","4104"
"611","36133900","4106"
"612","36140901","4104"
"613","36140902","4104"
"614","36145102","4104"
"615","36145900","4104"
"616","36152902","4104"
"617","36157901","4105"
"618","36157902","4105"
"619","36157903","4105"
"620","36001800","4111"
"621","36002000","4111"
"622","36020400","4112"
"623","36002702","3710"
"624","36003200","4111"
"625","36112900","4104"
"626","36026700","4107"
"627","36036901","3705"
"628","36036902","3705"
"629","36038900","3705"
"630","36047000","4112"
"631","36023301","3707"
"632","36023501","3707"
"633","36016500","3705"
"634","36040302","3706"
"635","36026702","3701"
"636","36048000","4112"
"637","36023302","3707"
"638","36018800","4112"
"639","36019200","4112"
"640","36017400","4113"
"641","36017600","4113"
"642","36143500","4104"
"643","36121100","4103"
"644","36013800","4111"
"645","36028400","4112"
"646","36058000","4105"
"647","36071303","4108"
"648","36077902","4106"
"649","36077907","4106"
"650","36017000","4113"
"651","36019400","4112"
"652","36002200","4012"
"653","36011900","3710"
"654","36097400","4009"
"655","36044500","4002"
"656","36044700","4002"
"657","36023502","3803"
"658","36006600","4013"
"659","36013400","4013"
"660","36019702","3803"
"661","36007000","4013"
"662","36007200","4012"
"663","36051600","3703"
"664","36062000","4016"
"665","36039000","4016"
"666","36032800","3704"
"667","36034000","3704"
"668","36004900","4005"
"669","36009400","4012"
"670","36009600","4012"
"671","36008200","4012"
"672","36008600","4012"
"673","36117602","4008"
"674","36034900","4006"
"675","36055100","4001"
"676","36041800","3702"
"677","36035100","4006"
"678","36064200","4016"
"679","36064400","4009"
"680","36005500","4101"
"681","36011900","3807"
"682","36012500","3807"
"683","36022500","3802"
"684","36029300","3801"
"685","36002602","3809"
"686","36001100","4004"
"687","36020000","4013"
"688","36020200","4013"
"689","36016000","4013"
"690","36016800","4017"
"691","36015800","3703"
"692","36003001","3809"
"693","36003002","3809"
"694","36005900","3810"
"695","36005600","3807"
"696","36005400","4013"
"697","36002500","3710"
"698","36015200","3703"
"699","36058200","4016"
"700","36055400","4016"
"701","36055600","4016"
"702","36021700","4006"
"703","36083400","4010"
"704","36085400","4010"
"705","36078800","4112"
"706","36022403","3704"
"707","36001600","3809"
"708","36046201","4015"
"709","36044800","3702"
"710","36034200","3704"
"711","36034400","3704"
"712","36025901","4003"
"713","36025902","4003"
"714","36056600","4105"
"715","36004200","3809"
"716","36006100","3810"
"717","36013900","3807"
"718","36016700","3705"
"719","36022902","3707"
"720","36016700","4005"
"721","36022404","3704"
"722","36094700","4103"
"723","36076902","4108"
"724","36098200","4009"
"725","36003000","4013"
"726","36140300","4104"
"727","36061302","4110"
"728","36062300","4110"
"729","36062500","4110"
"730","36074500","4108"
"731","36037300","4102"
"732","36101700","4103"
"733","36114100","4103"
"734","36022002","4106"
"735","36045000","4106"
"736","36077905","4106"
"737","36126700","4106"
"738","36121500","4103"
"739","36122300","4106"
"740","36134100","4106"
"741","36141700","4104"
"742","36036002","4018"
"743","36056100","4001"
"744","36036501","3705"
"745","36033201","3704"
"746","36015200","4111"
"747","36020600","4112"
"748","36047200","4106"
"749","36093200","4010"
"750","36059000","4105"
"751","36004700","4101"
"752","36090800","4007"
"753","36114400","4007"
"754","36037100","3705"
"755","36011402","3902"
"756","36023000","3803"
"757","36111800","4008"
"758","36091900","4103"
"759","36092500","4103"
"760","36001502","3810"
"761","36076600","4015"
"762","36012000","3805"
"763","36012800","3805"
"764","36040300","4002"
"765","36052700","4001"
"766","36052900","4001"
"767","36045600","4106"
"768","36021100","3708"
"769","36050500","4110"
"770","36022800","3704"
"771","36023000","3704"
"772","36027700","3701"
"773","36027300","3701"
"774","36042000","3702"
"775","36040800","3702"
"776","36021302","3708"
"777","36025700","4003"
"778","36002901","4004"
"779","36157101","4105"
"780","36026701","3701"
"781","36063301","4110"
"782","36063302","4110"
"783","36024400","3704"
"784","36085500","4103"
"785","36086300","4103"
"786","36086500","4103"
"787","36116300","4103"
"788","36104700","4103"
"789","36115900","4103"
"790","36036300","3705"
"791","36022703","3707"
"792","36022702","3707"
"793","36017009","3901"
"794","36035700","4102"
"795","36015001","3805"
"796","36009800","3709"
"797","36013300","3705"
"798","36009600","4113"
"799","36004500","4101"
"800","36005300","4101"
"801","36113200","4007"
"802","36048000","4015"
"803","36048200","4015"
"804","36048400","4014"
"805","36117400","4008"
"806","36117601","4008"
"807","36021001","3709"
"808","36023800","3704"
"809","36022200","3709"
"810","36018901","3903"
"811","36003600","4013"
"812","36006800","4013"
"813","36144700","4104"
"814","36005700","4101"
"815","36005900","4101"
"816","36054800","4105"
"817","36047300","4107"
"818","36030000","3703"
"819","36015500","4101"
"820","36015700","4101"
"821","36015900","4101"
"822","36119800","4008"
"823","36010601","3808"
"824","36026100","4003"
"825","36017008","3901"
"826","36030200","3703"
"827","36110600","4008"
"828","36004500","3810"
"829","36013500","4005"
"830","36036700","4007"
"831","36009500","3807"
"832","36006300","3810"
"833","36051100","4001"
"834","36013300","3807"
"835","36012700","3807"
"836","36012100","3807"
"837","36008100","3807"
"838","36005400","3807"
"839","36016900","4012"
"840","36017100","4012"
"841","36056800","4105"
"842","36059200","4105"
"843","36062200","4105"
"844","36018302","3708"
"845","36022600","3803"
"846","36102200","4009"
"847","36005501","3810"
"848","36020800","3803"
"849","36007700","3710"
"850","36007500","3710"
"851","36007300","3710"
"852","36007900","3710"
"853","36013200","4111"
"854","36035601","4018"
"855","36061600","4016"
"856","36037504","3705"
"857","36053700","4001"
"858","36026500","3706"
"859","36042200","4016"
"860","36043800","4014"
"861","36150200","4012"
"862","36038200","3702"
"863","36049400","4014"
"864","36007500","4101"
"865","36007700","4101"
"866","36033202","3704"
"867","36045500","4107"
"868","36056200","4105"
"869","36056400","4105"
"870","36063000","4105"
"871","36030904","4102"
"872","36049200","4106"
"873","36012200","4111"
"874","36014400","4111"
"875","36015000","4111"
"876","36038500","4003"
"877","36030100","4007"
"878","36012000","4111"
"879","36014800","4111"
"880","36003100","3710"
"881","36008300","3710"
"882","36005200","3709"
"883","36092900","4103"
"884","36013400","3805"
"885","36013100","4005"
"886","36014100","4005"
"887","36014900","4005"
"888","36014500","4012"
"889","36014700","4012"
"890","36009200","3808"
"891","36011401","3805"
"892","36146300","4104"
"893","36025300","4003"
"894","36146700","4104"
"895","36020600","4013"
"896","36100801","4114"
"897","36000100","3710"
"898","36000100","3810"
"899","36044800","4014"
"900","36045000","4014"
"901","36080200","4011"
"902","36075800","4015"
"903","36115100","4103"
"904","36117100","4103"
"905","36040500","4102"
"906","36040700","4102"
"907","36040900","4102"
"908","36013100","3807"
"909","36013700","3807"
"910","36062800","4016"
"911","36071701","4108"
"912","36025500","4109"
"913","36025700","4109"
"914","36026300","4109"
"915","36026500","4109"
"916","36029100","4102"
"917","36029300","4109"
"918","36030902","4102"
"919","36051300","4110"
"920","36017700","3806"
"921","36021002","3709"
"922","36021200","3709"
"923","36038800","3702"
"924","36039000","3702"
"925","36038600","3702"
"926","36028300","4003"
"927","36006500","3810"
"928","36037700","4003"
"929","36037300","4007"
"930","36037500","4003"
"931","36029400","4112"
"932","36022701","3707"
"933","36022901","3707"
"934","36045800","4106"
"935","36046600","4106"
"936","36024501","3707"
"937","36023200","3803"
"938","36019800","3804"
"939","36020000","3803"
"940","36007500","4005"
"941","36014500","3806"
"942","36014900","3806"
"943","36016900","4109"
"944","36004600","3709"
"945","36034300","4006"
"946","36034500","4006"
"947","36011200","4012"
"948","36031000","3704"
"949","36007100","4004"
"950","36012700","4004"
"951","36028600","4017"
"952","36016000","3703"
"953","36027402","3703"
"954","36050803","4015"
"955","36050804","4015"
"956","36039400","4016"
"957","36041402","4016"
"958","36041600","4016"
"959","36093400","4010"
"960","36094600","4010"
"961","36048200","4112"
"962","36028502","4003"
"963","36006100","4101"
"964","36006300","4101"
"965","36138501","4104"
"966","36069601","4009"
"967","36072000","4009"
"968","36072200","4009"
"969","36022700","3802"
"970","36025900","3803"
"971","36033000","4112"
"972","36083800","4113"
"973","36017402","3804"
"974","36023702","3706"
"975","36042901","3706"
"976","36021500","3803"
"977","36021703","3802"
"978","36008000","3808"
"979","36046400","4106"
"980","36127700","4106"
"981","36024300","4003"
"982","36008500","4101"
"983","36004300","4101"
"984","36025100","4003"
"985","36026500","4003"
"986","36037300","3705"
"987","36039100","3705"
"988","36109300","4104"
"989","36109700","4104"
"990","36008800","3808"
"991","36009000","3808"
"992","36001501","3810"
"993","36002900","3809"
"994","36018100","4004"
"995","36007800","3808"
"996","36084601","4113"
"997","36007100","3810"
"998","36129102","4104"
"999","36074900","4108"
"1000","36076901","4108"
"1001","36042600","3702"
"1002","36009300","3710"
"1003","36011700","3710"
"1004","36033402","4112"
"1005","36094500","4103"
"1006","36054500","4001"
"1007","36021303","3802"
"1008","36099800","4009"
"1009","36003700","4004"
"1010","36003900","4004"
"1011","36017400","4017"
"1012","36017600","4017"
"1013","36004300","3810"
"1014","36005502","3810"
"1015","36005700","3810"
"1016","36003601","3809"
"1017","36003602","3809"
"1018","36008602","3808"
"1019","36139900","4104"
"1020","36144100","4104"
"1021","36033401","4112"
"1022","36035700","4006"
"1023","36035900","4006"
"1024","36014100","3705"
"1025","36018400","3703"
"1026","36016400","3703"
"1027","36028100","4003"
"1028","36051100","4110"
"1029","36025400","4112"
"1030","36001402","3809"
"1031","36008601","3808"
"1032","36044601","4112"
"1033","36046000","4112"
"1034","36021200","4112"
"1035","36024000","4112"
"1036","36013700","4101"
"1037","36006900","4101"
"1038","36007100","4101"
"1039","36006501","4101"
"1040","36012500","4101"
"1041","36097203","4114"
"1042","36015000","4013"
"1043","36007000","3808"
"1044","36009500","4101"
"1045","36035200","4112"
"1046","36002700","3903"
"1047","36015200","3805"
"1048","36091000","4007"
"1049","36118201","4008"
"1050","36041400","4112"
"1051","36044000","4112"
"1052","36099701","4103"
"1053","36020100","3903"
"1054","36006100","3708"
"1055","36025100","3903"
"1056","36030301","3903"
"1057","36031902","3903"
"1058","36147100","4104"
"1059","36150701","4104"
"1060","36012000","4012"
"1061","36012600","4013"
"1062","36063500","4110"
"1063","36017100","3708"
"1064","36017702","3708"
"1065","36028900","3701"
"1066","36035600","3702"
"1067","36021200","3803"
"1068","36022102","3803"
"1069","36022800","3803"
"1070","36077908","4106"
"1071","36050100","4001"
"1072","36051500","4001"
"1073","36018300","4004"
"1074","36021100","4004"
"1075","36018501","4004"
"1076","36018700","4004"
"1077","36008500","3710"
"1078","36008700","3710"
"1079","36008400","3709"
"1080","36006700","3710"
"1081","36053100","4110"
"1082","36006200","3808"
"1083","36056300","4001"
"1084","36004300","4004"
"1085","36004500","4005"
"1086","36015400","3901"
"1087","36008400","4012"
"1088","36008800","4012"
"1089","36017500","4012"
"1090","36001200","3809"
"1091","36029500","3801"
"1092","36148300","4104"
"1093","36020501","3707"
"1094","36035602","4018"
"1095","36036400","4018"
"1096","36022200","3803"
"1097","36022400","3803"
"1098","36075702","4108"
"1099","36015801","4113"
"1100","36020800","4112"
"1101","36024600","4112"
"1102","36018900","4109"
"1103","36024900","4109"
"1104","36003300","4101"
"1105","36046200","4112"
"1106","36014605","3901"
"1107","36007200","3808"
"1108","36007400","3807"
"1109","36088901","4103"
"1110","36056000","4105"
"1111","36043900","4107"
"1112","36084900","4103"
"1113","36036900","4007"
"1114","36142900","4104"
"1115","36145101","4104"
"1116","36079200","4112"
"1117","36006201","4113"
"1118","36050202","4012"
"1119","36050400","4012"
"1120","36027900","3701"
"1121","36036800","4112"
"1122","36035800","3702"
"1123","36011500","3807"
"1124","36057500","4001"
"1125","36057900","4001"
"1126","36018700","3806"
"1127","36103201","4114"
"1128","36019800","4112"
"1129","36019600","4112"
"1130","36020200","4112"
"1131","36022001","4106"
"1132","36043701","4107"
"1133","36043702","4107"
"1134","36025800","4112"
"1135","36008800","4113"
"1136","36052300","4001"
"1137","36052500","4001"
"1138","36070202","4009"
"1139","36014607","3901"
"1140","36036600","4018"
"1141","36037000","4018"
"1142","36037401","4018"
"1143","36098700","4103"
"1144","36015500","3806"
"1145","36005400","3709"
"1146","36005600","3709"
"1147","36032700","4011"
"1148","36058800","4016"
"1149","36059000","4016"
"1150","36060600","4016"
"1151","36002400","4111"
"1152","36002600","4111"
"1153","36037402","4018"
"1154","36010602","3805"
"1155","36011000","3805"
"1156","36011600","3805"
"1157","36108500","4104"
"1158","36109900","4104"
"1159","36113300","4104"
"1160","36013201","3901"
"1161","36019600","3804"
"1162","36014608","3901"
"1163","36030302","3903"
"1164","36059800","4016"
"1165","36062600","4016"
"1166","36047800","4014"
"1167","36011201","3902"
"1168","36011401","3902"
"1169","36016100","4006"
"1170","36003500","4004"
"1171","36017900","4004"
"1172","36053800","4105"
"1173","36058200","4105"
"1174","36016300","4006"
"1175","36020500","4006"
"1176","36031702","4006"
"1177","36031900","4011"
"1178","36032100","4011"
"1179","36038700","4003"
"1180","36039500","4002"
"1181","36042400","4017"
"1182","36041200","4017"
"1183","36024400","4014"
"1184","36046800","4014"
"1185","36053900","4110"
"1186","36027500","4003"
"1187","36027700","4003"
"1188","36012901","4005"
"1189","36012902","4005"
"1190","36045300","4002"
"1191","36048500","4002"
"1192","36021600","3803"
"1193","36018902","3902"
"1194","36030800","4018"
"1195","36007400","3709"
"1196","36008600","3709"
"1197","36118800","4008"
"1198","36074700","4108"
"1199","36022101","3708"
"1200","36038301","3707"
"1201","36155101","4105"
"1202","36014702","3705"
"1203","36016900","3705"
"1204","36077500","4111"
"1205","36009800","4113"
"1206","36011000","4111"
"1207","36070300","4108"
"1208","36070700","4108"
"1209","36070900","4108"
"1210","36048900","4002"
"1211","36049300","4002"
"1212","36049302","4110"
"1213","36008200","3808"
"1214","36022300","3903"
"1215","36009600","3709"
"1216","36020100","3708"
"1217","36007800","3709"
"1218","36009200","3709"
"1219","36008603","3808"
"1220","36079801","4011"
"1221","36079802","4011"
"1222","36008500","4005"
"1223","36005601","4013"
"1224","36013200","3703"
"1225","36088000","4011"
"1226","36039500","3705"
"1227","36042500","3706"
"1228","36099100","4103"
"1229","36133300","4106"
"1230","36134700","4106"
"1231","36040400","4112"
"1232","36061601","4105"
"1233","36062000","4105"
"1234","36037600","4112"
"1235","36042300","4002"
"1236","36001900","4109"
"1237","36008300","4101"
"1238","36008100","4101"
"1239","36002400","3809"
"1240","36062400","4105"
"1241","36062600","4105"
"1242","36021400","4106"
"1243","36060100","4110"
"1244","36060300","4110"
"1245","36002700","3809"
"1246","36016700","3806"
"1247","36028800","4112"
